ts,frame_hex,cmd,sub,payload_len
2026-08-05T02:11:42.511414+00:00,a55a0582201307e0,0x82,0x20,3
2026-08-05T02:11:42.511881+00:00,a55a0582202307e0,0x82,0x20,3
2026-08-05T02:11:42.512018+00:00,a55a05822033001f,0x82,0x20,3
2026-08-05T02:11:42.612377+00:00,a55a0582204307e0,0x82,0x20,3
2026-08-05T02:11:42.612530+00:00,a55a0582205307e0,0x82,0x20,3
2026-08-05T02:11:42.612564+00:00,a55a0582206307e0,0x82,0x20,3
2026-08-05T02:11:42.612590+00:00,a55a0582207307e0,0x82,0x20,3
2026-08-05T02:11:42.612639+00:00,a55a0582208307e0,0x82,0x20,3
2026-08-05T02:11:42.612674+00:00,a55a0582209307e0,0x82,0x20,3
2026-08-05T02:11:42.612700+00:00,a55a058220a307e0,0x82,0x20,3
2026-08-05T02:11:42.612725+00:00,a55a058220b307e0,0x82,0x20,3
2026-08-05T02:11:42.612751+00:00,a55a058220c307e0,0x82,0x20,3
2026-08-05T02:11:42.612802+00:00,a55a058220d307e0,0x82,0x20,3
2026-08-05T02:11:42.612827+00:00,a55a058220e307e0,0x82,0x20,3
2026-08-05T02:11:42.612852+00:00,a55a058220f3f800,0x82,0x20,3
2026-08-05T02:11:42.612875+00:00,a55a058221030000,0x82,0x21,3
2026-08-05T02:11:42.713226+00:00,a55a058221130000,0x82,0x21,3
2026-08-05T02:11:42.713425+00:00,a55a058221230000,0x82,0x21,3
2026-08-05T02:11:42.713497+00:00,a55a058221330000,0x82,0x21,3
2026-08-05T02:11:42.713561+00:00,a55a058221430000,0x82,0x21,3
2026-08-05T02:11:42.713648+00:00,a55a058221530000,0x82,0x21,3
2026-08-05T02:11:42.713725+00:00,a55a058221630000,0x82,0x21,3
2026-08-05T02:11:42.713790+00:00,a55a058221730000,0x82,0x21,3
2026-08-05T02:11:42.713851+00:00,a55a058221830000,0x82,0x21,3
2026-08-05T02:11:42.713911+00:00,a55a058221930000,0x82,0x21,3
2026-08-05T02:11:42.713970+00:00,a55a058221a30000,0x82,0x21,3
2026-08-05T02:11:42.714035+00:00,a55a058221b30000,0x82,0x21,3
2026-08-05T02:11:42.714098+00:00,a55a15821300000000000000000000000000000000000000,0x82,0x13,19
2026-08-05T02:11:43.115334+00:00,a55a03800100,0x80,0x1,1
2026-08-05T02:11:43.115476+00:00,a55a2582100014bc03cc002200070041002a002500000cf600000001000100330001000100010000,0x82,0x10,35
2026-08-05T02:11:43.115522+00:00,a55a3b8211000ce60ceb0cf90d1a0cfc0ceb0ce40d0f0d1f0cf40cec0ce70d010ce60cec0cdd000000000000000000000000000000000000000000000000,0x82,0x11,57
2026-08-05T02:11:43.115562+00:00,a55a0582200307e0,0x82,0x20,3
2026-08-05T02:11:43.115596+00:00,a55a0582201307e0,0x82,0x20,3
2026-08-05T02:11:43.115677+00:00,a55a0582202307e0,0x82,0x20,3
2026-08-05T02:11:43.115715+00:00,a55a05822033001f,0x82,0x20,3
2026-08-05T02:11:43.115747+00:00,a55a0582204307e0,0x82,0x20,3
2026-08-05T02:11:43.115779+00:00,a55a0582205307e0,0x82,0x20,3
2026-08-05T02:11:43.115810+00:00,a55a0582206307e0,0x82,0x20,3
2026-08-05T02:11:43.115842+00:00,a55a0582207307e0,0x82,0x20,3
2026-08-05T02:11:43.216164+00:00,a55a0582208307e0,0x82,0x20,3
2026-08-05T02:11:43.216377+00:00,a55a0582209307e0,0x82,0x20,3
