ts,frame_hex,u16_1_2,u16_3_4,u16_5_6,u16_7_8,u16_9_10,u16_11_12,u16_13_14,u16_15_16,u16_17_18,u16_19_20,u16_21_22,u16_23_24,u16_25_26,u16_27_28,u16_29_30,u16_31_32,u16_33_34
2026-08-05T02:02:13.369107+00:00,a55a25821000141203dd0022000100580025002400000c8c00000001000100340001000100010000,5138,989,34,1,88,37,36,0,3212,0,1,1,52,1,1,1,0
2026-08-05T02:02:13.971476+00:00,a55a25821000141303e00023000100580025002400000c8c00000001000100350001000100010000,5139,992,35,1,88,37,36,0,3212,0,1,1,53,1,1,1,0
2026-08-05T02:02:14.473381+00:00,a55a25821000141303e00024000100580025002400000c8c00000001000100330001000100010000,5139,992,36,1,88,37,36,0,3212,0,1,1,51,1,1,1,0
2026-08-05T02:02:15.075710+00:00,a55a25821000141403e00025000100580025002400000c8d00000001000100340001000100010000,5140,992,37,1,88,37,36,0,3213,0,1,1,52,1,1,1,0
2026-08-05T02:02:15.677866+00:00,a55a25821000141503dd0026000100580025002400000c8d00000001000100350001000100010000,5141,989,38,1,88,37,36,0,3213,0,1,1,53,1,1,1,0
2026-08-05T02:02:16.179552+00:00,a55a25821000141503dd0027000100580025002400000c8d00000001000100330001000100010000,5141,989,39,1,88,37,36,0,3213,0,1,1,51,1,1,1,0
2026-08-05T02:02:16.867447+00:00,a55a25821000141603e00028000100580025002400000c8e00000001000100340001000100010000,5142,992,40,1,88,37,36,0,3214,0,1,1,52,1,1,1,0
2026-08-05T02:02:17.369470+00:00,a55a25821000141603e40029000100580025002400000c8e00000001000100350001000100010000,5142,996,41,1,88,37,36,0,3214,0,1,1,53,1,1,1,0
2026-08-05T02:02:17.971659+00:00,a55a25821000141603e4001f000100580025002400000c8e00000001000100330001000100010000,5142,996,31,1,88,37,36,0,3214,0,1,1,51,1,1,1,0
2026-08-05T02:02:18.473396+00:00,a55a25821000141603dd0020000100580025002400000c8e00000001000100340001000100010000,5142,989,32,1,88,37,36,0,3214,0,1,1,52,1,1,1,0
2026-08-05T02:02:19.075656+00:00,a55a25821000141703dd0021000100580025002400000c8f00000001000100350001000100010000,5143,989,33,1,88,37,36,0,3215,0,1,1,53,1,1,1,0
2026-08-05T02:02:19.677795+00:00,a55a25821000141803dd0022000100580025002400000c8f00000001000100330001000100010000,5144,989,34,1,88,37,36,0,3215,0,1,1,51,1,1,1,0
2026-08-05T02:02:20.179665+00:00,a55a25821000141803e00023000100580025002400000c9000000001000100340001000100010000,5144,992,35,1,88,37,36,0,3216,0,1,1,52,1,1,1,0
2026-08-05T02:02:20.781718+00:00,a55a25821000141903dd0024000100580025002400000c9000000001000100350001000100010000,5145,989,36,1,88,37,36,0,3216,0,1,1,53,1,1,1,0
2026-08-05T02:02:21.384024+00:00,a55a25821000141903dd0025000100580025002400000c9000000001000100330001000100010000,5145,989,37,1,88,37,36,0,3216,0,1,1,51,1,1,1,0
2026-08-05T02:02:21.885917+00:00,a55a25821000141903e40026000100580025002400000c9000000001000100340001000100010000,5145,996,38,1,88,37,36,0,3216,0,1,1,52,1,1,1,0
2026-08-05T02:02:22.488088+00:00,a55a25821000141a03dd0027000100580025002400000c9100000001000100350001000100010000,5146,989,39,1,88,37,36,0,3217,0,1,1,53,1,1,1,0
2026-08-05T02:02:23.090400+00:00,a55a25821000141b03dd0028000100580025002400000c9100000001000100330001000100010000,5147,989,40,1,88,37,36,0,3217,0,1,1,51,1,1,1,0
