ts,soc,battery_voltage,battery_current,charge_power,grid_import_power,cycle_count,soh,temp_battery
2026-08-05T02:13:12.885155+00:00,7.0,53.1,9.68,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:13:22.907533+00:00,8.0,53.1,9.620000000000001,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:13:32.936429+00:00,8.0,53.1,9.620000000000001,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:13:42.961246+00:00,8.0,53.1,9.620000000000001,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:13:52.986242+00:00,8.0,53.1,9.68,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:14:03.008239+00:00,8.0,53.1,9.68,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:14:13.031560+00:00,8.0,53.1,9.68,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:14:23.073293+00:00,8.0,53.1,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:14:33.119226+00:00,8.0,53.1,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:14:43.162671+00:00,8.0,53.1,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:14:53.208372+00:00,9.0,53.2,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:15:03.254129+00:00,9.0,53.2,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:15:13.301168+00:00,9.0,53.2,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:15:23.353749+00:00,9.0,53.2,9.620000000000001,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:15:33.401433+00:00,9.0,53.2,9.620000000000001,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:15:43.448283+00:00,9.0,53.2,9.620000000000001,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:15:53.515394+00:00,9.0,53.2,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:16:03.562593+00:00,9.0,53.2,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:16:13.606430+00:00,9.0,53.2,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:16:23.651892+00:00,9.0,53.2,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:16:33.700492+00:00,9.0,53.2,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:16:43.745823+00:00,9.0,53.2,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:16:53.792322+00:00,10.0,53.2,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:17:03.840416+00:00,10.0,53.2,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:17:13.890793+00:00,10.0,53.2,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:17:23.943982+00:00,10.0,53.2,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:17:33.989148+00:00,10.0,53.2,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:17:44.035836+00:00,10.0,53.2,9.65,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:17:54.081601+00:00,10.0,53.2,9.58,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:18:04.125489+00:00,10.0,53.2,9.58,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:18:14.175499+00:00,10.0,53.2,9.58,5000.0,6000.0,53.0,87.0,34.0
2026-08-05T02:18:24.219855+00:00,11.0,53.300000000000004,9.58,5000.0,6000.0,53.0,87.0,34.0
